Year,Country,Language
2005,Moldova,"English, Romanian"
2005,Latvia,English
2005,Monaco,French
2005,Israel,"Hebrew, English"
2005,Belarus,English
2005,Netherlands,English
2005,Iceland,English
2005,Belgium,French
2005,Estonia,English
2005,Norway,English
2005,Romania,English
2005,Hungary,Hungarian
2005,Finland,English
2005,Macedonia,English
2005,Andorra,Catalan
2005,Switzerland,English
2005,Croatia,Croatian
2005,Bulgaria,English
2005,Ireland,English
2005,Slovenia,Slovene
2005,Denmark,English
2005,Poland,"Polish, Russian"
2005,Final,Final
2005,Hungary,Hungarian
2005,United Kingdom,English
2005,Malta,English
2005,Romania,English
2005,Norway,English
2005,Turkey,Turkish
2005,Moldova,"English, Romanian"
2005,Albania,English
2005,Cyprus,English
2005,Spain,Spanish
2005,Israel,"Hebrew, English"
2005,Serbia and Montenegro,Montenegrin
2005,Denmark,English
2005,Sweden,English
2005,Macedonia,English
2005,Ukraine,"Ukrainian, English[b][d][g][r][s][t]"
2005,Germany,English
2005,Croatia,Croatian
2005,Greece,English
2005,Russia,English
2005,Bosnia and Herzegovina,English
2005,Switzerland,English
2005,Latvia,English
2005,France,French
2006,Armenia,English
2006,Bulgaria,English
2006,Slovenia,English
2006,Andorra,Catalan
2006,Belarus,English
2006,Albania,Albanian
2006,Belgium,English
2006,Ireland,English
2006,Cyprus,English
2006,Monaco,"French, Tahitian"
2006,Macedonia,"English, Macedonian"
2006,Poland,"English, Polish, German, Russian[d]"
2006,Russia,English
2006,Turkey,Turkish
2006,Ukraine,English
2006,Finland,English
2006,Netherlands,"English, Imaginary"
2006,Lithuania,English[b]
2006,Portugal,"Portuguese, English"
2006,Sweden,English
2006,Estonia,English
2006,Bosnia and Herzegovina,Bosnian
2006,Iceland,English
2006,Switzerland,English
2006,Moldova,English[d]
2006,Israel,"Hebrew, English"
2006,Latvia,English
2006,Norway,Norwegian
2006,Spain,Spanish
2006,Malta,English
2006,Germany,English
2006,Denmark,English
2006,Russia,English
2006,Macedonia,"English, Macedonian"
2006,Romania,"English, Italian"
2006,Bosnia and Herzegovina,Bosnian
2006,Lithuania,English[b]
2006,United Kingdom,English
2006,Greece,English
2006,Finland,English
2006,Ukraine,English
2006,France,French
2006,Croatia,Croatian
2006,Ireland,English
2006,Sweden,English
2006,Turkey,"Turkish, English"
2006,Armenia,English
2007,Bulgaria,Bulgarian
2007,Israel,"English, French, Hebrew"
2007,Cyprus,French
2007,Belarus,English
2007,Iceland,English
2007,Georgia,English
2007,Montenegro,Montenegrin
2007,Switzerland,English
2007,Moldova,English
2007,Netherlands,English
2007,Albania,"English, Albanian"
2007,Denmark,English
2007,Croatia,"Croatian, English"
2007,Poland,English
2007,Serbia,Serbian
2007,Czech Republic,Czech
2007,Portugal,"Portuguese, English[b][c]"
2007,Macedonia,"Macedonian, English"
2007,Norway,English[d]
2007,Malta,English
2007,Andorra,"Catalan, English"
2007,Hungary,English
2007,Estonia,English
2007,Belgium,English
2007,Slovenia,Slovene
2007,Turkey,English
2007,Austria,English
2007,Latvia,Italian
2007,Bosnia and Herzegovina,Serbian
2007,Spain,Spanish[c]
2007,Belarus,English
2007,Ireland,English
2007,Finland,English
2007,Macedonia,"Macedonian, English"
2007,Slovenia,Slovene
2007,Hungary,English
2007,Lithuania,English
2007,Greece,English[q]
2007,Georgia,English
2007,Sweden,English
2007,France,"French, English (""Franglais"")"
2007,Latvia,Italian
2007,Russia,English
2007,Germany,"German, English"
2007,Serbia,Serbian
2007,Ukraine,"German, English, Ukrainian, Russian"
2007,United Kingdom,English
2007,Romania,"English, Italian, Spanish,Russian, French, Romanian"
2007,Bulgaria,Bulgarian
2007,Turkey,English
2007,Armenia,"English, Armenian"
2007,Moldova,English
2008,Montenegro,Montenegrin
2008,Israel,"Hebrew, English"
2008,Estonia,"Serbian, German, Finnish"
2008,Moldova,English
2008,San Marino,Italian
2008,Belgium,Imaginary
2008,Azerbaijan,English
2008,Slovenia,Slovene
2008,Norway,English
2008,Poland,English
2008,Ireland,English[b][d][e][g]
2008,Andorra,"English, Catalan"
2008,Bosnia and Herzegovina,Bosnian
2008,Armenia,"English, Armenian"
2008,Netherlands,English
2008,Finland,Finnish
2008,Romania,"Romanian, Italian"
2008,Russia,English
2008,Greece,English
2008,Iceland,English
2008,Sweden,English
2008,Turkey,Turkish
2008,Ukraine,English
2008,Lithuania,English
2008,Albania,Albanian
2008,Switzerland,Italian
2008,Czech Republic,English
2008,Belarus,English[d]
2008,Latvia,English
2008,Croatia,Croatian
2008,Bulgaria,English
2008,Denmark,English
2008,Georgia,English
2008,Hungary,"English, Hungarian"
2008,Malta,English[t]
2008,Cyprus,Greek
2008,Macedonia,English
2008,Portugal,Portuguese
2008,Romania,"Romanian, Italian"
2008,United Kingdom,English
2008,Albania,Albanian
2008,Germany,English
2008,Armenia,"English, Armenian"
2008,Bosnia and Herzegovina,Bosnian
2008,Israel,"Hebrew, English"
2008,Finland,Finnish
2008,Croatia,Croatian
2008,Poland,English
2008,Iceland,English
2008,Turkey,Turkish
2008,Portugal,Portuguese
2008,Latvia,English
2008,Sweden,English
2008,Denmark,English
2008,Georgia,English
2008,Ukraine,English
2008,France,"English, French"
2008,Azerbaijan,English
2008,Greece,English
2008,Spain,"Spanish, English"
2008,Serbia,Serbian
2008,Russia,English
2008,Norway,English
2009,Montenegro,English
2009,Czech Republic,"English, Romani"
2009,Belgium,English
2009,Belarus,English
2009,Sweden,"French, English"
2009,Armenia,"English, Armenian"
2009,Andorra,"Catalan, English"
2009,Switzerland,English
2009,Turkey,English
2009,Israel,"English, Hebrew, Arabic"
2009,Bulgaria,English
2009,Iceland,English
2009,Macedonia,Macedonian
2009,Romania,English
2009,Finland,English
2009,Portugal,Portuguese
2009,Malta,English
2009,Bosnia and Herzegovina,Bosnian
2009,Croatia,Croatian
2009,Ireland,English
2009,Latvia,Russian
2009,Serbia,Serbian
2009,Poland,English
2009,Norway,English
2009,Cyprus,English
2009,Slovakia,Slovak
2009,Denmark,English
2009,Slovenia,"English, Slovene"
2009,Hungary,English
2009,Azerbaijan,English
2009,Greece,English
2009,Lithuania,"English, Russian"
2009,Moldova,"Romanian, English"
2009,Albania,English
2009,Ukraine,English
2009,Estonia,Estonian
2009,Netherlands,English
2009,Lithuania,"English, Russian"
2009,Israel,"English, Hebrew, Arabic"
2009,France,French
2009,Sweden,"French, English"
2009,Croatia,Croatian
2009,Portugal,Portuguese
2009,Iceland,English
2009,Greece,English
2009,Armenia,"English, Armenian"
2009,Russia,"Russian, Ukrainian"
2009,Azerbaijan,English
2009,Bosnia and Herzegovina,Bosnian
2009,Moldova,"Romanian, English"
2009,Malta,English
2009,Estonia,Estonian
2009,Denmark,English
2009,Germany,English
2009,Turkey,English
2009,Albania,English
2009,Norway,English
2009,Ukraine,English
2009,Romania,English
2009,United Kingdom,English
2009,Finland,English
2009,Spain,Spanish
2010,Moldova,English
2010,Russia,English
2010,Estonia,English
2010,Slovakia,Slovak
2010,Finland,Finnish
2010,Latvia,English
2010,Serbia,Serbian
2010,Bosnia and Herzegovina,English
2010,Poland,"English, Polish"
2010,Belgium,English
2010,Malta,English
2010,Albania,English
2010,Greece,Greek[c]
2010,Portugal,Portuguese
2010,Macedonia,Macedonian
2010,Belarus,English
2010,Iceland,English
2010,Lithuania,English
2010,Armenia,English
2010,Israel,Hebrew
2010,Denmark,English
2010,Switzerland,French
2010,Sweden,English
2010,Azerbaijan,English
2010,Ukraine,English
2010,Netherlands,Dutch
2010,Romania,English
2010,Slovenia,Slovene
2010,Ireland,English
2010,Bulgaria,"Bulgarian, English"
2010,Cyprus,English
2010,Croatia,Croatian
2010,Georgia,English
2010,Turkey,English
2010,Azerbaijan,English
2010,Spain,Spanish
2010,Norway,English
2010,Moldova,English
2010,Cyprus,English
2010,Bosnia and Herzegovina,English
2010,Belgium,English
2010,Serbia,Serbian
2010,Belarus,English
2010,Ireland,English
2010,Greece,Greek[c]
2010,United Kingdom,English
2010,Georgia,English
2010,Turkey,English
2010,Albania,English
2010,Iceland,English
2010,Ukraine,English
2010,France,French
2010,Romania,English
2010,Russia,English
2010,Armenia,English
2010,Germany,English
2010,Portugal,Portuguese
2010,Israel,Hebrew
2010,Denmark,English
2011,Poland,Polish
2011,Norway,"English, Swahili"
2011,Albania,English[u]
2011,Armenia,English
2011,Turkey,English
2011,Serbia,Serbian
2011,Russia,"English, Russian"
2011,Switzerland,English
2011,Georgia,English
2011,Finland,English
2011,Malta,English
2011,San Marino,English
2011,Croatia,English
2011,Iceland,English
2011,Hungary,"English, Hungarian"
2011,Portugal,Portuguese
2011,Lithuania,English[b]
2011,Azerbaijan,English
2011,Greece,"English, Greek"
2011,Bosnia and Herzegovina,English[v]
2011,Austria,English
2011,Netherlands,English
2011,Belgium,English
2011,Slovakia,English
2011,Ukraine,English
2011,Moldova,English
2011,Sweden,English
2011,Cyprus,Greek
2011,Bulgaria,Bulgarian
2011,Macedonia,"Macedonian, English[t]"
2011,Israel,"Hebrew, English"
2011,Slovenia,English
2011,Romania,English
2011,Estonia,English
2011,Belarus,English
2011,Latvia,English
2011,Denmark,English
2011,Ireland,English
2011,Finland,English
2011,Bosnia and Herzegovina,English[v]
2011,Denmark,English
2011,Lithuania,English[b]
2011,Hungary,"English, Hungarian"
2011,Ireland,English
2011,Sweden,English
2011,Estonia,English
2011,Greece,"English, Greek"
2011,Russia,"English, Russian"
2011,France,Corsican
2011,Italy,"Italian, English"
2011,Switzerland,English
2011,United Kingdom,English
2011,Moldova,English
2011,Germany,English
2011,Romania,English
2011,Austria,English
2011,Azerbaijan,English
2011,Slovenia,English
2011,Iceland,English
2011,Spain,Spanish
2011,Ukraine,English
2011,Serbia,Serbian
2011,Georgia,English
2012,Montenegro,English[g][w]
2012,Iceland,English
2012,Greece,English
2012,Latvia,English
2012,Albania,Albanian
2012,Romania,"Spanish, English"
2012,Switzerland,English
2012,Belgium,English
2012,Finland,Swedish
2012,Israel,"English, Hebrew"
2012,San Marino,English[e]
2012,Cyprus,English
2012,Denmark,English
2012,Russia,"Udmurt, English"
2012,Hungary,English
2012,Austria,Mühlviertlerisch
2012,Moldova,English
2012,Ireland,English
2012,Serbia,Serbian
2012,Macedonia,Macedonian
2012,Netherlands,English
2012,Malta,English
2012,Belarus,English
2012,Portugal,Portuguese
2012,Ukraine,English
2012,Bulgaria,Bulgarian[b][c][d][e][j][q][x][y][z][aa]
2012,Slovenia,Slovene
2012,Croatia,Croatian
2012,Sweden,English
2012,Georgia,"English, Georgian"
2012,Turkey,English
2012,Estonia,Estonian
2012,Slovakia,English
2012,Norway,English
2012,Bosnia and Herzegovina,Bosnian
2012,Lithuania,English
2012,United Kingdom,English
2012,Hungary,English
2012,Albania,Albanian
2012,Lithuania,English
2012,Bosnia and Herzegovina,Bosnian
2012,Russia,"Udmurt, English"
2012,Iceland,English
2012,Cyprus,English
2012,France,"French, English"
2012,Italy,"English, Italian"
2012,Estonia,Estonian
2012,Norway,English
2012,Azerbaijan,English
2012,Romania,"Spanish, English"
2012,Denmark,English
2012,Greece,English
2012,Sweden,English
2012,Turkey,English
2012,Spain,Spanish
2012,Germany,English
2012,Malta,English
2012,Macedonia,Macedonian
2012,Ireland,English
2012,Serbia,Serbian
2012,Ukraine,English
2012,Moldova,English
2013,Austria,English
2013,Estonia,Estonian
2013,Slovenia,English
2013,Croatia,Croatian
2013,Denmark,English
2013,Russia,English
2013,Ukraine,English
2013,Netherlands,English
2013,Montenegro,Montenegrin
2013,Lithuania,English
2013,Belarus,English
2013,Moldova,Romanian
2013,Ireland,English
2013,Cyprus,Greek
2013,Belgium,English
2013,Serbia,Serbian
2013,Latvia,English
2013,San Marino,Italian
2013,Macedonia,"Macedonian, Romani"
2013,Azerbaijan,English
2013,Finland,English
2013,Malta,English
2013,Bulgaria,Bulgarian
2013,Iceland,Icelandic
2013,Greece,Greek[c]
2013,Israel,Hebrew
2013,Armenia,English
2013,Hungary,Hungarian
2013,Norway,English
2013,Albania,Albanian
2013,Georgia,English
2013,Switzerland,English
2013,Romania,English
2013,France,French
2013,Lithuania,English
2013,Moldova,Romanian
2013,Finland,English
2013,Spain,Spanish[c]
2013,Belgium,English
2013,Estonia,Estonian
2013,Belarus,English
2013,Malta,English
2013,Russia,English
2013,Germany,English
2013,Armenia,English
2013,Netherlands,English
2013,Romania,English
2013,United Kingdom,English
2013,Sweden,English
2013,Hungary,Hungarian
2013,Denmark,English
2013,Iceland,Icelandic
2013,Azerbaijan,English
2013,Greece,Greek[c]
2013,Ukraine,English
2013,Italy,Italian
2013,Norway,English
2013,Georgia,English
2013,Ireland,English
2014,Armenia,English
2014,Latvia,English[ab]
2014,Estonia,English
2014,Sweden,English
2014,Iceland,English
2014,Albania,English
2014,Russia,English
2014,Azerbaijan,English
2014,Ukraine,English
2014,Belgium,English
2014,Moldova,English
2014,San Marino,English
2014,Portugal,Portuguese
2014,Netherlands,English
2014,Montenegro,Montenegrin
2014,Hungary,English
2014,Malta,English
2014,Israel,"English, Hebrew"
2014,Norway,English
2014,Georgia,English
2014,Poland,"Polish, English"
2014,Austria,English
2014,Lithuania,English
2014,Finland,English
2014,Ireland,English
2014,Belarus,English
2014,Macedonia,English
2014,Switzerland,English
2014,Greece,English
2014,Slovenia,"English, Slovene"
2014,Romania,English
2014,Ukraine,English
2014,Belarus,English
2014,Azerbaijan,English
2014,Iceland,English
2014,Norway,English
2014,Romania,English
2014,Armenia,English
2014,Montenegro,Montenegrin
2014,Poland,"Polish, English"
2014,Greece,English
2014,Austria,English
2014,Germany,English
2014,Sweden,English
2014,France,French[c][d]
2014,Russia,English
2014,Italy,Italian[c]
2014,Slovenia,"English, Slovene"
2014,Finland,English
2014,Spain,"English, Spanish"
2014,Switzerland,English
2014,Hungary,English
2014,Malta,English
2014,Denmark,English
2014,Netherlands,English
2014,San Marino,English
2014,United Kingdom,English
2015,Moldova,English
2015,Armenia,English
2015,Belgium,English
2015,Netherlands,English
2015,Finland,Finnish
2015,Greece,English
2015,Estonia,English
2015,Macedonia,English
2015,Serbia,English
2015,Hungary,English
2015,Belarus,English
2015,Russia,English
2015,Denmark,English
2015,Albania,English
2015,Romania,"Romanian, English"
2015,Georgia,English
2015,Lithuania,English
2015,Ireland,English
2015,San Marino,English
2015,Montenegro,Montenegrin
2015,Malta,English
2015,Norway,English
2015,Portugal,Portuguese
2015,Czech Republic,English
2015,Israel,English
2015,Latvia,English
2015,Azerbaijan,English
2015,Iceland,English
2015,Sweden,English
2015,Switzerland,English
2015,Cyprus,English
2015,Slovenia,English
2015,Poland,English
2015,Slovenia,English
2015,France,French
2015,Israel,English
2015,Estonia,English
2015,United Kingdom,English
2015,Armenia,English
2015,Lithuania,English
2015,Serbia,English
2015,Norway,English
2015,Sweden,English
2015,Cyprus,English
2015,Australia,English
2015,Belgium,English
2015,Austria,English
2015,Greece,English
2015,Montenegro,Montenegrin
2015,Germany,English
2015,Poland,English
2015,Latvia,English
2015,Romania,"Romanian, English"
2015,Spain,Spanish
2015,Hungary,English
2015,Georgia,English
2015,Azerbaijan,English
2015,Russia,English
2015,Albania,English
2015,Italy,Italian
2016,Finland,English
2016,Greece,"English, Greek[ac]"
2016,Moldova,English
2016,Hungary,English
2016,Croatia,English
2016,Netherlands,English
2016,Armenia,English
2016,San Marino,English
2016,Russia,English
2016,Czech Republic,English
2016,Cyprus,English
2016,Austria,French
2016,Estonia,English
2016,Azerbaijan,English
2016,Montenegro,English
2016,Iceland,English
2016,Bosnia and Herzegovina,Bosnian
2016,Malta,English
2016,Latvia,English
2016,Poland,English
2016,Switzerland,English
2016,Israel,English
2016,Belarus,English
2016,Serbia,English
2016,Ireland,English
2016,Macedonia,Macedonian
2016,Lithuania,English
2016,Australia,English
2016,Slovenia,English
2016,Bulgaria,"English, Bulgarian"
2016,Denmark,English
2016,Ukraine,"English, Crimean Tatar"
2016,Norway,English
2016,Georgia,English
2016,Albania,English
2016,Belgium,English
2016,Belgium,English
2016,Czech Republic,English
2016,Netherlands,English
2016,Azerbaijan,English
2016,Hungary,English
2016,Italy,"Italian, English"
2016,Israel,English
2016,Bulgaria,"English, Bulgarian"
2016,Sweden,English
2016,Germany,English
2016,France,"French, English"
2016,Poland,English
2016,Australia,English
2016,Cyprus,English
2016,Serbia,English
2016,Lithuania,English
2016,Croatia,English
2016,Russia,English
2016,Spain,English
2016,Latvia,English
2016,Ukraine,"English, Crimean Tatar"
2016,Malta,English
2016,Georgia,English
2016,Austria,French
2016,United Kingdom,English
2016,Armenia,English
2017,Sweden,English
2017,Georgia,English
2017,Australia,English
2017,Albania,English
2017,Belgium,English
2017,Montenegro,English
2017,Finland,English
2017,Azerbaijan,English
2017,Portugal,Portuguese
2017,Greece,English
2017,Poland,English
2017,Moldova,English
2017,Iceland,English
2017,Czech Republic,English
2017,Cyprus,English
2017,Armenia,English
2017,Slovenia,English
2017,Latvia,English
2017,Serbia,English
2017,Austria,English
2017,Macedonia,English
2017,Malta,English
2017,Romania,English
2017,Netherlands,English
2017,Hungary,Hungarian
2017,Denmark,English
2017,Ireland,English
2017,San Marino,English
2017,Croatia,"English, Italian"
2017,Norway,English
2017,Switzerland,English
2017,Belarus,Belarusian
2017,Bulgaria,English
2017,Lithuania,English
2017,Estonia,English
2017,Israel,English
2017,Israel,English
2017,Poland,English
2017,Belarus,Belarusian
2017,Austria,English
2017,Armenia,English
2017,Netherlands,English
2017,Moldova,English
2017,Hungary,Hungarian
2017,Italy,Italian[c][o][ad]
2017,Denmark,English
2017,Portugal,Portuguese
2017,Azerbaijan,English
2017,Croatia,"English, Italian"
2017,Australia,English
2017,Greece,English
2017,Spain,"Spanish, English"
2017,Norway,English
2017,United Kingdom,English
2017,Cyprus,English
2017,Romania,English
2017,Germany,English
2017,Ukraine,English
2017,Belgium,English
2017,Sweden,English
2017,Bulgaria,English
2017,France,"French, English"
2018,Azerbaijan,English
2018,Iceland,English
2018,Albania,Albanian
2018,Belgium,English
2018,Czech Republic,English
2018,Lithuania,English[ae]
2018,Israel,English[i]
2018,Belarus,English
2018,Estonia,Italian
2018,Bulgaria,English
2018,Macedonia,English
2018,Croatia,English
2018,Austria,English
2018,Greece,Greek
2018,Finland,English
2018,Armenia,Armenian
2018,Switzerland,English
2018,Ireland,English
2018,Cyprus,English[d]
2018,Norway,English
2018,Romania,English
2018,Serbia,Serbian[af]
2018,San Marino,English
2018,Denmark,English[ag]
2018,Russia,English
2018,Moldova,English
2018,Netherlands,English
2018,Australia,English
2018,Georgia,Georgian
2018,Poland,English
2018,Malta,English
2018,Hungary,Hungarian
2018,Latvia,English
2018,Sweden,English
2018,Montenegro,Montenegrin
2018,Slovenia,Slovene[ah]
2018,Ukraine,English
2018,Ukraine,English
2018,Spain,Spanish
2018,Slovenia,Slovene[ah]
2018,Lithuania,English[ae]
2018,Austria,English
2018,Estonia,Italian
2018,Norway,English
2018,Portugal,Portuguese
2018,United Kingdom,English
2018,Serbia,Serbian[af]
2018,Germany,English
2018,Albania,Albanian
2018,France,French
2018,Czech Republic,English
2018,Denmark,English[ag]
2018,Australia,English
2018,Finland,English
2018,Bulgaria,English
2018,Moldova,English
2018,Sweden,English
2018,Hungary,Hungarian
2018,Israel,English
2018,Netherlands,English
2018,Ireland,English[i]
2018,Cyprus,English[d]
2018,Italy,Italian
2019,Cyprus,English
2019,Montenegro,English
2019,Finland,English
2019,Poland,"Polish, English"
2019,Slovenia,Slovene
2019,Czech Republic,English
2019,Hungary,Hungarian
2019,Belarus,English
2019,Serbia,Serbian[c]
2019,Belgium,English
2019,Georgia,Georgian[ai]
2019,Australia,English
2019,Iceland,Icelandic
2019,Estonia,English
2019,Portugal,Portuguese
2019,Greece,English
2019,San Marino,English[aa]
2019,Armenia,English
2019,Ireland,English
2019,Moldova,English
2019,Switzerland,English
2019,Latvia,English
2019,Romania,English
2019,Denmark,"English, French[g][aj]"
2019,Sweden,English
2019,Austria,English
2019,Croatia,"English, Croatian"
2019,Malta,English
2019,Lithuania,English
2019,Russia,English
2019,Albania,Albanian
2019,Norway,English[n]
2019,Netherlands,English
2019,North Macedonia,English
2019,Azerbaijan,English
2019,Malta,English
2019,Albania,Albanian
2019,Czech Republic,English
2019,Germany,English
2019,Russia,English
2019,Denmark,"English, French[g][aj]"
2019,San Marino,English[aa]
2019,North Macedonia,English
2019,Sweden,English
2019,Slovenia,Slovene
2019,Cyprus,English
2019,Netherlands,English
2019,Greece,English
2019,Israel,English
2019,Norway,English[n]
2019,United Kingdom,English
2019,Iceland,Icelandic
2019,Estonia,English
2019,Belarus,English
2019,Azerbaijan,English
2019,France,"French, English"
2019,Italy,Italian[x]
2019,Serbia,Serbian[c]
2019,Switzerland,English
2019,Australia,English
2019,Spain,Spanish
2020,Albania,English
2020,Armenia,English
2020,Australia,English
2020,Austria,English
2020,Azerbaijan,English[ak]
2020,Belarus,Belarusian
2020,Belgium,English
2020,Bulgaria,English
2020,Croatia,Croatian
2020,Cyprus,English
2020,Czech Republic,English
2020,Denmark,English
2020,Estonia,English
2020,Finland,English
2020,France,"French, English"
2020,Georgia,English[b][d][e][g]
2020,Germany,English
2020,Greece,English
2020,Iceland,English
2020,Ireland,English
2020,Israel,"English, Amharic, Hebrew, Arabic"
2020,Italy,Italian
2020,Latvia,English
2020,Lithuania,English
2020,Malta,English
2020,Moldova,English
2020,Netherlands,English
2020,North Macedonia,English
2020,Norway,English
2020,Poland,English
2020,Portugal,Portuguese
2020,Romania,English
2020,Russia,"English, Spanish"
2020,San Marino,English
2020,Serbia,Serbian[c][d]
2020,Slovenia,Slovene
2020,Spain,Spanish
2020,Sweden,English
2020,Switzerland,French
2020,Ukraine,Ukrainian
2020,United Kingdom,English
